{AC7E17C3-0833-40B1-B37A-187320A03826},urn:nbn:fi:csc-kata20170613100831874894
{AF0A925D-9410-4431-8DB8-0455C73D193E},urn:nbn:fi:csc-kata20170613100915362768
{A8126E3C-8F96-43C3-883D-BF315E38284E},urn:nbn:fi:csc-kata20170613100843538705
{BB655D7F-1E25-4E19-AE7F-5DEBF1AEFC6C},urn:nbn:fi:csc-kata20170613100920274475
{C594F22E-B642-434D-B6F2-6ECB03F760C7},urn:nbn:fi:csc-kata20170613100838488699
{3F43EA83-48C3-4D04-9DDF-67822FB32EF2},urn:nbn:fi:csc-kata20170613100931616389
{7DB140D8-F133-42DB-B424-3309C2684A6D},urn:nbn:fi:csc-kata20170613100850445913
{F271AB26-3268-461F-A380-F3A1CC6AB62E},urn:nbn:fi:csc-kata20170613100858049260
{09F5613F-D9A2-4C68-818D-70B018437888},urn:nbn:fi:csc-kata20170613100921280406
{9EC02206-E14C-4186-AF09-829FFFB43FD9},urn:nbn:fi:csc-kata20170613100925247174
{F1E7CB96-6CA3-4E51-B057-464AF658C46E},urn:nbn:fi:csc-kata20170613100942315433
{AFB2C26E-E63B-4324-8E06-3B806EC37C92},urn:nbn:fi:csc-kata20170613100938782978
{B2B2A595-1225-4E18-B49C-EEBB5A6C5CE3},urn:nbn:fi:csc-kata20170613100945310351
{629AC114-8BBC-48B5-9D8F-303A53CF3E9F},urn:nbn:fi:csc-kata20170613100946313023
{802F4259-8AB3-473A-810C-FA3BE4FE5C92},urn:nbn:fi:csc-kata20170613100951805707
{FBE41DF9-F410-4490-B9B6-8418CB33617E},urn:nbn:fi:csc-kata20170613100958852425
{9707160B-8B54-48DB-9151-4A41FD46D159},urn:nbn:fi:csc-kata20170613100808149463
{11A39DCD-4A35-4B90-AFBD-EEC3B778378C},urn:nbn:fi:csc-kata20170613100815228157
{E3647EED-2697-4EDE-92C9-900DD458B87F},urn:nbn:fi:csc-kata20170613100818169169
{04399CD4-86CD-453E-B683-5CFF53FA36D0},urn:nbn:fi:csc-kata20170613100853312415
{79F1A09C-54C6-4EBE-96D8-1970459896EE},urn:nbn:fi:csc-kata20170613100830811514
{B7E5A9C8-08A2-4272-9AB2-ADA81A2E6C69},urn:nbn:fi:csc-kata20170613100836417116
{EEC35D81-765A-4A7B-BC9B-F89A476807EC},urn:nbn:fi:csc-kata20170613100855767461
